Info	Severity
3481 > 80 [SYN] Seq=1391816244 Win=512 Len=0	1
3482 > 80 [SYN] Seq=2106420319 Win=512 Len=0	1
3483 > 80 [SYN] Seq=1209139901 Win=512 Len=0	1
3484 > 80 [SYN] Seq=472264011 Win=512 Len=0	1
3485 > 80 [SYN] Seq=230793126 Win=512 Len=0	1
3486 > 80 [SYN] Seq=105580086 Win=512 Len=0	1
3487 > 80 [SYN] Seq=316004118 Win=512 Len=0	1
3488 > 80 [SYN] Seq=2005140453 Win=512 Len=0	1
3489 > 80 [SYN] Seq=1085520625 Win=512 Len=0	1
3490 > 80 [SYN] Seq=414025726 Win=512 Len=0	1
3491 > 80 [SYN] Seq=186848446 Win=512 Len=0	1
3492 > 80 [SYN] Seq=656830606 Win=512 Len=0	1
3493 > 80 [SYN] Seq=890434475 Win=512 Len=0	1
3494 > 80 [SYN] Seq=1885792266 Win=512 Len=0	1
3495 > 80 [SYN] Seq=1410802215 Win=512 Len=0	1
3496 > 80 [SYN] Seq=329534911 Win=512 Len=0	1
3497 > 80 [SYN] Seq=1652849318 Win=512 Len=0	1
3498 > 80 [SYN] Seq=618452351 Win=512 Len=0	1
3499 > 80 [SYN] Seq=584532104 Win=512 Len=0	1
3500 > 80 [SYN] Seq=213003511 Win=512 Len=0	1
3501 > 80 [SYN] Seq=1311536188 Win=512 Len=0	1
3502 > 80 [SYN] Seq=594967848 Win=512 Len=0	1
3503 > 80 [SYN] Seq=307287882 Win=512 Len=0	1
3504 > 80 [SYN] Seq=1894309539 Win=512 Len=0	1
3505 > 80 [SYN] Seq=2147259125 Win=512 Len=0	1
3506 > 80 [SYN] Seq=618713931 Win=512 Len=0	1
3507 > 80 [SYN] Seq=1838193813 Win=512 Len=0	1
3508 > 80 [SYN] Seq=1981814229 Win=512 Len=0	1
3509 > 80 [SYN] Seq=488507909 Win=512 Len=0	1
3510 > 80 [SYN] Seq=871721433 Win=512 Len=0	1
3511 > 80 [SYN] Seq=1475602170 Win=512 Len=0	1
3512 > 80 [SYN] Seq=1544482716 Win=512 Len=0	1
3513 > 80 [SYN] Seq=1037299743 Win=512 Len=0	1
3514 > 80 [SYN] Seq=1163193152 Win=512 Len=0	1
3515 > 80 [SYN] Seq=246943305 Win=512 Len=0	1
3516 > 80 [SYN] Seq=666826978 Win=512 Len=0	1
3517 > 80 [SYN] Seq=380940608 Win=512 Len=0	1
3518 > 80 [SYN] Seq=1852771962 Win=512 Len=0	1
3519 > 80 [SYN] Seq=645010549 Win=512 Len=0	1
3520 > 80 [SYN] Seq=2138144290 Win=512 Len=0	1
3521 > 80 [SYN] Seq=303747967 Win=512 Len=0	1
3522 > 80 [SYN] Seq=1771120972 Win=512 Len=0	1
3523 > 80 [SYN] Seq=754642966 Win=512 Len=0	1
3524 > 80 [SYN] Seq=292232072 Win=512 Len=0	1
3525 > 80 [SYN] Seq=122196910 Win=512 Len=0	1
3526 > 80 [SYN] Seq=1655339694 Win=512 Len=0	1
3527 > 80 [SYN] Seq=926228040 Win=512 Len=0	1
3528 > 80 [SYN] Seq=1735194914 Win=512 Len=0	1
3529 > 80 [SYN] Seq=405725371 Win=512 Len=0	1
3530 > 80 [SYN] Seq=1817318811 Win=512 Len=0	1
3531 > 80 [SYN] Seq=1888011449 Win=512 Len=0	1
3532 > 80 [SYN] Seq=1929339473 Win=512 Len=0	1
3533 > 80 [SYN] Seq=388787083 Win=512 Len=0	1
3534 > 80 [SYN] Seq=1868609457 Win=512 Len=0	1
3535 > 80 [SYN] Seq=1820665190 Win=512 Len=0	1
3536 > 80 [SYN] Seq=244729759 Win=512 Len=0	1
3537 > 80 [SYN] Seq=2054484393 Win=512 Len=0	1
3538 > 80 [SYN] Seq=498188312 Win=512 Len=0	1
3539 > 80 [SYN] Seq=1852623041 Win=512 Len=0	1
3540 > 80 [SYN] Seq=163845547 Win=512 Len=0	1
3541 > 80 [SYN] Seq=598544557 Win=512 Len=0	1
3542 > 80 [SYN] Seq=337354947 Win=512 Len=0	1
3543 > 80 [SYN] Seq=924759432 Win=512 Len=0	1
3544 > 80 [SYN] Seq=1250574108 Win=512 Len=0	1
3545 > 80 [SYN] Seq=330508479 Win=512 Len=0	1
3546 > 80 [SYN] Seq=558989498 Win=512 Len=0	1
3547 > 80 [SYN] Seq=455360496 Win=512 Len=0	1
3548 > 80 [SYN] Seq=400562081 Win=512 Len=0	1
3549 > 80 [SYN] Seq=99882566 Win=512 Len=0	1
3550 > 80 [SYN] Seq=198332500 Win=512 Len=0	1
3551 > 80 [SYN] Seq=686572526 Win=512 Len=0	1
3552 > 80 [SYN] Seq=1868350611 Win=512 Len=0	1
3553 > 80 [SYN] Seq=1219820431 Win=512 Len=0	1
3554 > 80 [SYN] Seq=1643108600 Win=512 Len=0	1
3555 > 80 [SYN] Seq=1282963543 Win=512 Len=0	1
3556 > 80 [SYN] Seq=261582169 Win=512 Len=0	1
3557 > 80 [SYN] Seq=234304172 Win=512 Len=0	1
3558 > 80 [SYN] Seq=2127357593 Win=512 Len=0	1
3559 > 80 [SYN] Seq=1233486402 Win=512 Len=0	1
3560 > 80 [SYN] Seq=105899617 Win=512 Len=0	1
3561 > 80 [SYN] Seq=561916049 Win=512 Len=0	1
3562 > 80 [SYN] Seq=194579852 Win=512 Len=0	1
3563 > 80 [SYN] Seq=933230499 Win=512 Len=0	1
3564 > 80 [SYN] Seq=1019171424 Win=512 Len=0	1
3565 > 80 [SYN] Seq=173528436 Win=512 Len=0	1
3566 > 80 [SYN] Seq=216966726 Win=512 Len=0	1
3567 > 80 [SYN] Seq=1394216053 Win=512 Len=0	1
3568 > 80 [SYN] Seq=1464793514 Win=512 Len=0	1
3569 > 80 [SYN] Seq=926887421 Win=512 Len=0	1
3570 > 80 [SYN] Seq=1633120816 Win=512 Len=0	1
3571 > 80 [SYN] Seq=1599855597 Win=512 Len=0	1
3572 > 80 [SYN] Seq=1425636322 Win=512 Len=0	1
3573 > 80 [SYN] Seq=1447817938 Win=512 Len=0	1
3574 > 80 [SYN] Seq=443676229 Win=512 Len=0	1
3575 > 80 [SYN] Seq=1811268951 Win=512 Len=0	1
3576 > 80 [SYN] Seq=1586137287 Win=512 Len=0	1
3577 > 80 [SYN] Seq=327270735 Win=512 Len=0	1
3578 > 80 [SYN] Seq=637513441 Win=512 Len=0	1
3579 > 80 [SYN] Seq=769943836 Win=512 Len=0	1
3580 > 80 [SYN] Seq=824444488 Win=512 Len=0	1
3581 > 80 [SYN] Seq=999347896 Win=512 Len=0	1
3582 > 80 [SYN] Seq=1981226587 Win=512 Len=0	1
3583 > 80 [SYN] Seq=1343463876 Win=512 Len=0	1
3584 > 80 [SYN] Seq=305880196 Win=512 Len=0	1
3585 > 80 [SYN] Seq=511584146 Win=512 Len=0	1
3586 > 80 [SYN] Seq=1096055621 Win=512 Len=0	1
3587 > 80 [SYN] Seq=173393143 Win=512 Len=0	1
3588 > 80 [SYN] Seq=125384532 Win=512 Len=0	1
3589 > 80 [SYN] Seq=931903734 Win=512 Len=0	1
3590 > 80 [SYN] Seq=1678953502 Win=512 Len=0	1
3591 > 80 [SYN] Seq=324949805 Win=512 Len=0	1
3592 > 80 [SYN] Seq=1726775990 Win=512 Len=0	1
3593 > 80 [SYN] Seq=1784044612 Win=512 Len=0	1
3594 > 80 [SYN] Seq=1429986170 Win=512 Len=0	1
3595 > 80 [SYN] Seq=1683772089 Win=512 Len=0	1
3596 > 80 [SYN] Seq=571447157 Win=512 Len=0	1
3597 > 80 [SYN] Seq=457461749 Win=512 Len=0	1
3598 > 80 [SYN] Seq=588548269 Win=512 Len=0	1
3599 > 80 [SYN] Seq=282016585 Win=512 Len=0	1
3600 > 80 [SYN] Seq=464754118 Win=512 Len=0	1
3601 > 80 [SYN] Seq=622398036 Win=512 Len=0	1
